ID,Created at,Updated at,Label,Description,Form ID,Order,Api name,UUID,Type,Parent ID,Delete Parent ID,Acrofieldlabel,Section ID,Excluded,Partial label,Custom,Show group label,Height,Page,Width,X,Y,Unified field ID,Delete,Hidden,Toggle description
6727407,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Entity Name,,52473,2,primary_ent2__name,666d5bbe-513a-41c2-b667-45cd70f40313,TextField,,Delete Parent ID,primary_ent2__name,8227,false,primary_ent2__name,false,false,,,,,,73,Delete,false,false
6727418,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Phone,,52473,13,primary_ent2__phone,c5496731-f678-4b6a-9051-34a51a2b8f33,TextField,,Delete Parent ID,primary_ent2__phone,8227,false,primary_ent2__phone,false,false,,,,,,80,Delete,false,false
6727406,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Specify,,52473,1,primary_ent2__specify,8975811f-1c76-4cdb-bdf1-9ad9de312c5b,TextField,6727546,Delete Parent ID,primary_ent2__specify,8227,false,primary_ent2__specify,false,false,,,,,,194,Delete,false,false
6727415,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,State,,52473,10,primary_ent2__state,d13e91a7-b45a-4c43-833c-58331fca4bfe,TextField,,Delete Parent ID,primary_ent2__state,8227,false,primary_ent2__state,false,false,,,,,,78,Delete,false,false
6727411,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,TIN,,52473,6,primary_ent2__tin,441a156e-cc66-413a-a3ea-afd07d087f2d,TextField,,Delete Parent ID,primary_ent2__tin,8227,false,primary_ent2__tin,false,false,,,,,,75,Delete,false,false
6727427,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Address,,52473,8,primary_ent3__address,1ed90671-c1f1-4451-9a80-39fc08417dab,TextField,,Delete Parent ID,primary_ent3__address,8227,false,primary_ent3__address,false,false,,,,,,86,Delete,false,false
6727450,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Address,,52473,7,contingent_indiv2__address,a6a431b6-697f-44ef-86d5-5617211dc454,TextField,,Delete Parent ID,contingent_indiv2__address,8227,false,contingent_indiv2__address,false,false,,,,,,108,Delete,false,false
6727451,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,City,,52473,8,contingent_indiv2__city,3912f4e9-5f1d-436b-a3bd-145024e38a04,TextField,,Delete Parent ID,contingent_indiv2__city,8227,false,contingent_indiv2__city,false,false,,,,,,109,Delete,false,false
6727449,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Date of Birth,,52473,6,contingent_indiv2__dob,a96f9d61-1031-44ea-b6f6-04fa93ed903c,TextField,,Delete Parent ID,contingent_indiv2__dob,8227,false,contingent_indiv2__dob,false,false,,,,,,107,Delete,false,false
6727454,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Email,,52473,11,contingent_indiv2__email,ea91d040-1296-4ced-b51a-e56a44588eaa,TextField,,Delete Parent ID,contingent_indiv2__email,8227,false,contingent_indiv2__email,false,false,,,,,,113,Delete,false,false
6727455,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Phone,,52473,12,contingent_indiv2__phone,fd36ef6f-eac2-4d40-bb56-26cfa505e988,TextField,,Delete Parent ID,contingent_indiv2__phone,8227,false,contingent_indiv2__phone,false,false,,,,,,112,Delete,false,false
